,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
,date,open,high,low,close,adjusted_close,volume,macd,macd_diff,macd_signal,bb_mavg,bb_hband,bb_lband,bb_hband_ind,bb_lband_ind,vwap,stoch_rsi,stochrsi_d,stochrsi_k
0,1993-01-29,43.8595,43.9688,43.75,43.9375,25.2275,1003200,0.0,0.0,0.0,43.9375,43.9375,43.9375,0.0,0.0,43.88543333333333,0.0,0.0,0.0
1,1993-02-01,43.9688,44.25,43.9688,44.25,25.4069,480500,0.02492877492876744,0.01994301994301395,0.004985754985753488,44.09375,44.40625,43.78125,0.0,0.0,43.97314339376783,0.0,0.0,0.0
2,1993-02-02,44.2188,44.375,44.125,44.3438,25.4607,201300,0.05165839887662571,0.03733811511269778,0.014320283763927933,44.177099999999996,44.52449307227788,43.829706927722114,0.0,0.0,44.00995361028684,0.0,0.0,0.0
3,1993-02-03,44.4063,44.8438,44.375,44.8125,25.7299,529400,0.10940088602806242,0.07606448181130758,0.033336404216754836,44.33595,44.9630953818693,43.70880461813069,0.0,0.0,44.16944931960501,0.0,0.0,0.0
4,1993-02-04,44.9688,45.0938,44.875,45.0,25.8375,531500,0.16835125760223235,0.10801188270838201,0.06033937489385034,44.468759999999996,45.2413303861785,43.696189613821495,0.0,0.0,44.328198759362444,0.0,0.0,0.0
5,1993-02-05,44.9688,45.0625,44.7188,44.9688,25.8196,492100,0.21013002441843298,0.1198325196196661,0.09029750479876689,44.552099999999996,45.349783278835226,43.754416721164766,0.0,0.0,44.41763713506279,0.0,0.0,0.0
6,1993-02-08,44.9688,45.125,44.9063,44.9688,25.8196,596100,0.24046803232949543,0.12013642202458283,0.1203316103049126,44.611628571428575,45.40563514005405,43.8176220028031,0.0,0.0,44.50818416664493,0.0,0.0,0.0
7,1993-02-09,44.8125,44.8125,44.5625,44.6563,25.6402,122100,0.23656797548113673,0.09298909214097928,0.14357888334015745,44.6172125,45.360525135689045,43.87389986431096,0.0,0.0,44.51339740744485,0.0,0.0,0.0
8,1993-02-10,44.6563,44.75,44.5313,44.7188,25.676,379600,0.23580219902750343,0.07377865254987678,0.16202354647762665,44.6285,45.33220470448272,43.924795295517285,0.0,0.0,44.526819074526806,0.0,0.0,0.0
