Symbol,Name,AUM,Avg Daily Share Volume (3mo)
SPY,SPDR S&P 500 ETF Trust,"$374,472,000.00 ","81,808,406"
IVV,iShares Core S&P 500 ETF,"$302,901,000.00 ","4,509,038"
VTI,Vanguard Total Stock Market ETF,"$276,162,000.00 ","4,198,224"
VOO,Vanguard S&P 500 ETF,"$275,218,000.00 ","4,064,797"
QQQ,Invesco QQQ Trust,"$153,589,000.00 ","51,781,316"
VEA,Vanguard FTSE Developed Markets ETF,"$108,806,000.00 ","15,060,873"
VTV,Vanguard Value ETF,"$103,461,000.00 ","2,992,092"
IEFA,iShares Core MSCI EAFE ETF,"$95,996,400.00 ","13,173,835"
BND,Vanguard Total Bond Market ETF,"$88,063,300.00 ","6,786,868"
AGG,iShares Core U.S. Aggregate Bond ETF,"$86,426,600.00 ","8,062,151"
VUG,Vanguard Growth ETF,"$74,613,900.00 ","1,574,546"
VWO,Vanguard FTSE Emerging Markets ETF,"$74,378,700.00 ","13,930,908"
IEMG,iShares Core MSCI Emerging Markets ETF,"$72,023,700.00 ","17,261,061"
IJR,iShares Core S&P Small-Cap ETF,"$69,498,600.00 ","3,896,914"
IJH,iShares Core S&P Mid-Cap ETF,"$68,100,400.00 ","1,161,884"
VIG,Vanguard Dividend Appreciation ETF,"$65,240,600.00 ","1,799,184"
IWF,iShares Russell 1000 Growth ETF,"$59,480,300.00 ","2,747,840"
GLD,SPDR Gold Shares,"$56,712,400.00 ","5,502,810"
VXUS,Vanguard Total International Stock ETF,"$55,023,200.00 ","4,239,354"
IWM,iShares Russell 2000 ETF,"$54,293,800.00 ","23,190,469"
VO,Vanguard Mid-Cap ETF,"$53,166,300.00 ","674,713"
IWD,iShares Russell 1000 Value ETF,"$52,987,600.00 ","3,093,937"
VYM,Vanguard High Dividend Yield Index ETF,"$50,364,400.00 ","2,123,638"
EFA,iShares MSCI EAFE ETF,"$48,530,300.00 ","22,463,570"
BNDX,Vanguard Total International Bond ETF,"$46,922,200.00 ","3,318,160"
SCHD,Schwab US Dividend Equity ETF,"$46,322,800.00 ","3,432,719"
VB,Vanguard Small Cap ETF,"$44,295,600.00 ","732,437"
XLE,Energy Select Sector SPDR Fund,"$42,116,200.00 ","21,257,510"
VGT,Vanguard Information Technology ETF,"$42,009,500.00 ","755,841"
VCSH,Vanguard Short-Term Corporate Bond ETF,"$41,762,700.00 ","6,313,774"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"$40,931,500.00 ","6,896,813"
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$40,459,300.00 ","1,950,659"
XLV,Health Care Select Sector SPDR Fund,"$40,369,200.00 ","7,457,321"
XLK,Technology Select Sector SPDR Fund,"$40,244,800.00 ","6,701,279"
