,0
0,AAC-UN
1,AACG
2,AACI
3,AACIU
4,AACIW
5,AADI
6,AAL
7,AAME
8,AAOI
9,AAON
10,AAPL
11,AATC
12,AAWW
13,ABCB
14,ABCL
15,ABCM
16,ABEO
17,ABGI
18,ABIO
19,ABNB
20,ABOS
21,ABR-PE
22,ABR-PF
23,ABSI
24,ABST
25,ABUS
26,ABVC
27,ACAB
28,ACABU
29,ACABW
30,ACAC
31,ACACU
32,ACACW
33,ACAD
34,ACAH
35,ACAHU
36,ACAHW
37,ACAQ-UN
38,ACAX
39,ACAXR
40,ACAXU
41,ACAXW
42,ACB
43,ACBA
44,ACBAU
45,ACBAW
46,ACCD
47,ACDC
48,ACDCW
49,ACER
50,ACET
51,ACGL
52,ACGN
53,ACHC
54,ACHL
55,ACHV
56,ACIU
57,ACIW
58,ACLS
59,ACLX
60,ACMR
61,ACNB
62,ACNT
63,ACON
64,ACONW
65,ACOR
66,ACQR
67,ACQRU
68,ACQRW
69,ACRS
70,ACRV
71,ACRX
72,ACST
73,ACT
74,ACTG
75,ACVA
76,ACXP
77,ADAG
78,ADAL
79,ADALU
80,ADALW
81,ADAP
82,ADBE
83,ADC-PA
84,ADD
85,ADEA
86,ADER
87,ADERU
88,ADERW
89,ADES
90,ADI
91,ADIL
92,ADILW
93,ADMA
94,ADMP
95,ADN
96,ADNWW
97,ADOC
98,ADOCR
99,ADOCW
100,ADP
101,ADPT
102,ADSE
103,ADSEW
104,ADSK
105,ADTH
106,ADTHW
107,ADTN
108,ADTX
109,ADUS
110,ADV
111,ADVM
112,ADVWW
113,ADXN
114,AEAC
115,AEACU
116,AEAE
117,AEAEU
118,AEAEW
119,AEHA
120,AEHAU
121,AEHAW
122,AEHL
123,AEHR
124,AEI
125,AEIS
126,AEL-PB
127,AEMD
128,AEP
129,AEPPZ
130,AERC
131,AEY
132,AEYE
133,AEZS
134,AFAR
135,AFARU
136,AFARW
137,AFBI
138,AFCG
139,AFIB
140,AFMD
141,AFRI
142,AFRIW
143,AFRM
144,AFYA
145,AGAE
146,AGBA
147,AGBAW
148,AGEN
149,AGFS
150,AGFY
151,AGGH
152,AGGR
153,AGGRU
154,AGGRW
155,AGIL
156,AGILW
157,AGIO
158,AGLE
159,AGMH
160,AGNC
161,AGNCL
162,AGRI
163,AGRIW
164,AGRX
165,AGYS
166,AHCO
167,AHG
168,AHHX
169,AHI
170,AHPI
171,AHRN
172,AHRNU
173,AHRNW
174,AIB
175,AIBBR
176,AIBBU
177,AIH
178,AIHS
179,AIKI
